Country,GDP,Population: Labor force participation (%),Population,Unemployment rate,Tax revenue (%),Total tax rate,CPI,CPI Change (%),Fertility Rate,Birth Rate,Life expectancy,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Out of pocket health expenditure,GDP per Capita
Monaco,7184844193.0,,38964.0,,,,,,,5.9,,,,0.061,184396.98678267119
Mongolia,13852850259.0,0.597,3225167.0,0.0601,0.168,0.257,195.76,0.073,2.9,24.13,69.7,1.04,0.6559999999999999,0.39299999999999996,4295.235024728952
Montenegro,5494736901.0,0.544,622137.0,0.14880000000000002,,0.222,116.32,0.026000000000000002,1.75,11.73,76.8,1.0,0.561,0.318,8832.036835938065
Morocco,118725279596.0,0.45299999999999996,36910560.0,0.0902,0.21899999999999997,0.45799999999999996,111.07,0.002,2.42,18.94,76.5,1.139,0.359,0.531,3216.5667385160236
Mozambique,14934159926.0,0.7809999999999999,30366036.0,0.032400000000000005,0.0,0.361,182.31,0.027999999999999997,4.85,37.52,60.2,1.126,0.073,0.068,491.80472307942995
Myanmar,76085852617.0,0.617,54045420.0,0.0158,0.054000000000000006,0.312,168.18,0.08800000000000001,2.15,17.55,66.9,1.123,0.188,0.7390000000000001,1407.8131434078966
Namibia,12366527719.0,0.595,2494530.0,0.2027,0.271,0.207,157.97,0.037000000000000005,3.4,28.64,63.4,1.242,0.22899999999999998,0.083,4957.458005716508
Nauru,133000000.0,,10084.0,,,,,,,,,,,,13189.210630702102
Nepal,30641380604.0,0.838,28608710.0,0.0141,0.207,0.418,188.73,0.055999999999999994,1.92,19.89,70.5,1.421,0.124,0.604,1071.0507605550897
Netherlands,909070395161.0,0.636,17332850.0,0.032,0.23,0.41200000000000003,115.91,0.026000000000000002,1.59,9.7,81.8,1.042,0.85,0.12300000000000001,52447.83143920359
New Zealand,206928765544.0,0.6990000000000001,4841000.0,0.0407,0.29,0.34600000000000003,114.24,0.016,1.71,11.98,81.9,1.0,0.82,0.126,42745.04555752943
Nicaragua,12520915291.0,0.664,6545502.0,0.0684,0.156,0.606,162.74,0.054000000000000006,2.4,20.64,74.3,1.206,0.174,0.36,1912.903745350624
Niger,12928145120.0,0.72,23310715.0,0.004699999999999999,0.11800000000000001,0.47200000000000003,109.32,-0.025,6.91,46.08,62.0,0.747,0.044000000000000004,0.523,554.6009686961554
Nigeria,448120428859.0,0.529,200963599.0,0.081,0.015,0.348,267.51,0.114,5.39,37.91,54.3,0.847,0.102,0.722,2229.858696245781
North Korea,32100000000.0,0.804,25666161.0,0.0274,,,,,1.9,13.89,72.1,1.128,0.27,,1250.6739905512165
North Macedonia,10220781069.0,,1836713.0,,,,,,,,,,,0.35600000000000004,5564.713196345863
Norway,403336363636.0,0.638,5347896.0,0.0335,0.239,0.36200000000000004,120.27,0.022000000000000002,1.56,10.4,82.8,1.003,0.82,0.14300000000000002,75419.6348687409
Oman,76983094928.0,0.7240000000000001,5266535.0,0.026699999999999998,0.025,0.27399999999999997,113.53,0.001,2.89,19.19,77.6,1.034,0.38,0.064,14617.408775978893
Pakistan,304400000000.0,0.526,216565318.0,0.044500000000000005,0.092,0.33899999999999997,182.32,0.106,3.51,28.25,67.1,0.943,0.09,0.665,1405.5805556086316
Palau,283994900.0,,18233.0,,0.213,0.7659999999999999,118.17,0.013000000000000001,2.21,14.0,69.1,1.126,0.547,0.218,15575.873416333023
Palestinian National Authority,,,,,,,,,,,,,,,
Panama,66800800000.0,0.6659999999999999,4246439.0,0.039,,0.37200000000000005,122.07,-0.004,2.46,18.98,78.3,0.9440000000000001,0.478,0.305,15731.01603484708
Papua New Guinea,24969611435.0,0.47200000000000003,8776109.0,0.0246,0.136,0.371,155.99,0.036000000000000004,3.56,27.07,64.3,1.085,0.018000000000000002,0.057999999999999996,2845.180185774812
Paraguay,38145288940.0,0.721,7044636.0,0.0481,0.1,0.35,143.82,0.027999999999999997,2.43,20.57,74.1,1.044,0.34600000000000003,0.365,5414.799137954041
Peru,226848050820.0,0.7759999999999999,32510453.0,0.0331,0.14300000000000002,0.368,129.78,0.021,2.25,17.95,76.5,1.069,0.7070000000000001,0.309,6977.695783568442
Philippines,376795508680.0,0.596,108116615.0,0.0215,0.14,0.431,129.61,0.025,2.58,20.55,71.1,1.075,0.355,0.535,3485.0842183692116
Poland,592164400688.0,0.5670000000000001,37970874.0,0.0347,0.174,0.408,114.11,0.022000000000000002,1.46,10.2,77.6,1.0,0.6779999999999999,0.23199999999999998,15595.227033436207
Portugal,237686075635.0,0.588,10269417.0,0.0633,0.228,0.39799999999999996,110.62,0.003,1.38,8.5,81.3,1.062,0.639,0.27699999999999997,23145.04081731222
Qatar,183466208791.0,0.868,2832067.0,0.0009,0.147,0.113,115.38,-0.006999999999999999,1.87,9.54,80.1,1.038,0.179,0.062,64781.73319734314
Romania,250077444017.0,0.547,19356544.0,0.0398,0.146,0.2,123.78,0.038,1.71,9.6,75.4,0.852,0.494,0.213,12919.529644186483
Russia,1699876578871.0,0.618,144373535.0,0.045899999999999996,0.114,0.462,180.75,0.045,1.57,11.5,72.7,1.026,0.8190000000000001,0.364,11774.156384485565
Rwanda,10122472590.0,0.8370000000000001,12626950.0,0.0103,0.14300000000000002,0.332,151.09,0.034,4.04,31.7,68.7,1.33,0.067,0.26,801.6561869651816
Saint Kitts and Nevis,1050992593.0,,52823.0,,0.185,0.49700000000000005,104.57,-0.01,2.11,12.6,71.3,1.087,0.867,0.5660000000000001,19896.49571209511
Saint Lucia,2122450630.0,0.6709999999999999,182790.0,0.2071,0.182,0.34700000000000003,110.13,0.019,1.44,12.0,76.1,1.026,0.141,0.484,11611.415449422835
Saint Vincent and the Grenadines,825385185.0,0.659,100455.0,0.1888,0.254,0.37,109.67,0.023,1.89,14.24,72.4,1.1340000000000001,0.237,0.214,8216.466925489025
Samoa,850655017.0,0.43700000000000006,202506.0,0.0836,0.255,0.193,117.56,0.01,3.88,24.38,73.2,1.105,0.076,0.115,4200.641052610787
